station_num,station_name,latitude,longitude
248,초원아파트 앞,37.53105545,126.9242096
249,여의도중학교 옆,37.52434921,126.9361191
250,대림아파트 사거리,37.50764084,126.9230804
251,서울지방병무청 버스정류장,37.50449371,126.9219513
252,보라매역4번출구,37.49982834,126.9199448
253,신풍역 5번출구 인근,37.5006485,126.9095154
254,도림신협 앞,37.50380325,126.9034195
255,도림사거리,37.50657272,126.9011307
256,동아에코빌입구,37.50947571,126.8992996
258,신길역3번출구,37.51769257,126.914299
259,대방역6번출구,37.51359177,126.9259338
260,여의도 마리나선착장 앞,37.53365707,126.9121628
262,영문초등학교 사거리,37.51992798,126.889183
263,근로자회관 사거리,37.51715088,126.8886261
264,교보생명보험 앞,37.52193069,126.8916168
265,영등포유통상가 사거리,37.52113342,126.8965378
266,영등포청과시장 사거리,37.52029419,126.9011917
267,삼성화재 사옥 옆,37.53596115,126.8983002
268,그랜드컨벤션센터 앞,37.53471756,126.9000015
270,증권거래소후문교차로,37.52234268,126.9271011
271,샛강생태공원방문자센터 앞,37.51896286,126.9216156
272,당산육갑문,37.53533936,126.9036789
274,영등포역지하쇼핑센타 5번출구,37.51626968,126.9068604
275,신동아아파트,37.52222061,126.885582
276,SK 영등포주유소,37.51828384,126.9126358
277,영등포뉴타운지하상가 2번게이트,37.52011871,126.9051666
278,쌍용플레티넘오피스텔,37.50793076,126.8952332
279,영등포 푸르지오 아파트,37.51322937,126.9044647
280,양평동6차현대아파트 앞,37.53210068,126.8944397
281,신동아아파트 앞,37.49824142,126.8939819
282,신한은행 대림동지점,37.48752975,126.9048767
283,아크로타워 스퀘어 영등포시장 ,37.52251816,126.9072189
284,센트럴 푸르지오 시티 앞,37.51821136,126.9022293
285,대림3동사거리 하나은행 ,37.49985886,126.8972397
286,우성아파트 교차로,37.49457169,126.8997498
287,영등포전화국사거리  서강어린이공원 ,37.52576828,126.9057388
288,쌍용예가 구청별관 ,37.52809906,126.8933868
289,대림3동사거리,37.49980927,126.8980026
290,당산동 SK V1 빌딩,37.5315094,126.8978272
291,문래동 하이테크 시티,37.51385117,126.89888
292,영일 어린이공원,37.51012039,126.904068
293,충북 미래관,37.52917099,126.9075775
295,영등포공원 분수대 앞,37.51481247,126.911705
296,KT플라자 영등포점,37.52630234,126.9053803
297,국회3문,37.52863693,126.912674
298,KBS 연구동 건너편,37.52750778,126.914299
299,여의도 순복음교회,37.53179169,126.9224548
300,정동사거리,37.56805038,126.9692307
301,경복궁역 7번출구 앞,37.57579422,126.9714508
302,경복궁역 4번출구 뒤,37.57594681,126.9740601
303,광화문역 1번출구 앞,37.57176971,126.9746628
306,광화문역 7번출구 앞,37.57080841,126.9764328
307,서울역사박물관 앞,37.56999969,126.9710999
308,광화문 S타워 앞,37.56996918,126.973938
309,광화문역 6번출구 옆,37.56996155,126.9761581
310,청계광장 옆,37.56887817,126.9774704
314,국립현대미술관,37.5797081,126.9808579
316,종각역 1번출구 앞,37.57039642,126.9817886
318,광교사거리 남측,37.56863403,126.9823151
320,을지로입구역 4번출구 앞,37.56622314,126.9835892
321,KEB 하나금융그룹 명동사옥 옆,37.56546402,126.9841385
322,명동성당 앞,37.56447601,126.986969
324,신세계백화점 본점 앞,37.56143188,126.9806976
326,안국역 5번출구 앞,37.57624054,126.9861603
327,낙원상가 옆,37.57335663,126.9874649
328,탑골공원 앞,37.57039642,126.9881897
329,청계2가 사거리 옆,37.56848526,126.9878845
331,을지로2가 사거리 북측,37.56638336,126.9872055
332,을지로2가 사거리 남측,37.56599045,126.987793
334,종로3가역 2번출구 뒤,37.5705986,126.9917908
335,종로3가역 15번출구 앞,37.57019806,126.9912567
336,티마크 호텔 앞,37.5614624,126.9931107
337,창경궁 입구,37.57897949,126.9964752
338,세운스퀘어 앞,37.57095718,126.9971237
339,종로4가 사거리,37.57106781,126.9981918
340,혜화동 로터리,37.58562851,127.000679
341,혜화역 3번출구 뒤,37.58156967,127.0017853
342,대학로 마로니에공원,37.57978439,127.002533
343,예일빌딩 율곡로  앞,37.57543182,127.004982
344,성균관대 E하우스 앞,37.57403564,127.0067215
345,서울보증보험본사 앞,37.57330704,127.0007095
346,맥스타일 앞,37.56918335,127.0098801
347,동대문역사문화공원역 9번출구 앞,37.56533051,127.007843
348,독립문역 사거리,37.57202911,126.9607849
349,사직동주민센터,37.57633209,126.9685898
351,청운초교 앞 삼거리,37.58507919,126.9706192
352,중앙고입구 삼거리,37.58341599,126.9852371
353,재동초교 앞 삼거리,37.57938766,126.9849472
354,포르투갈 대사관 앞,37.57915497,126.9889603
355,서울사대부속초교 앞,37.57650757,127.0024567
356,KT혜화지사 앞,37.57714462,127.0020599
358,성대입구 사거리,37.58250046,126.9985352
359,원남동사거리,37.57606125,126.9976807
361,동묘앞역 1번출구 뒤,37.57324219,127.0159073
362,청계8가 사거리,37.57222366,127.0227051
363,신설동역 11번출구 뒤,37.57559204,127.02285
364,창신역 1번출구 앞,37.57933426,127.0150833
367,독립문역 3-1번출구,37.57384872,126.9586945
368,SK 서린빌딩 앞,37.5692482,126.9805374
369,광화문 시민열린마당,37.57549286,126.9785004
370,시청역 2호선  9번출구 뒤,37.56322861,126.9748383
371,동대입구역 6번출구 뒤,37.55887222,127.0055389
372,약수역 3번출구 뒤,37.55429459,127.0112
374,청구역 2번출구 앞,37.5604744,127.0140762
379,서울역9번출구,37.55599976,126.9733582
380,CJ제일제당 앞,37.56386566,127.0027466
381,장충체육관,37.55853271,127.0069885
382,약수역 10번출구 앞,37.55519867,127.0100479
383,신당역 12번 출구 뒤,37.5658493,127.0164032
384,종로학원본원,37.55978012,126.9685059
385,종각역 5번출구,37.56983566,126.9826584
387,훈련원공원주차장 앞,37.56699371,127.0034638
388,동성중학교 앞,37.58573532,127.0016098
389,을지로4가역 1번출구,37.5667305,126.9966049
390,충무로역 1번출구,37.56138992,126.9953537
391,시립미술관,37.56505203,126.9734039
393,동대문역 8번 출구,37.57014084,127.0093765
394,경희궁 자이 3단지,37.56748962,126.9659195
395,경희궁 자이 2단지,37.56885529,126.9645615
397,종묘공영주차장 건너편,37.57048035,126.9966354
398,을지로3가역 3번출구,37.56655884,126.9924393
399,서울역 센트럴 자이아파트,37.55410767,126.9654083
400,상암한화오벨리스크 1차 앞,37.58752441,126.8830032
401,상암월드컵파크 10단지 앞,37.58618927,126.8816147
402,상암월드컵파크 9단지 앞,37.58285522,126.8798218
403,부엉이공원 앞,37.58559036,126.8847275
405,DMC빌 앞,37.58265686,126.885788
406,상암월드컵파크 7단지 앞,37.58131409,126.8805847
407,마포구 육아종합지원센터,37.58063126,126.8836746
408,LG CNS앞,37.58081055,126.8866501
409,누리꿈스퀘어 옆,37.57939911,126.8891602
410,상암중학교 옆,37.57749557,126.8877716
411,DMC홍보관,37.5779953,126.8914719
412,DMC산학협력연구센터 앞,37.57580185,126.8907394
413,상암월드컵파크 3단지 후문,37.57147598,126.8896866
414,상암동주민센터 옆,37.57822037,126.8944702
415,DMC역 9번출구 앞,37.57746887,126.8973618
416,상암월드컵파크 1단지 교차로,37.57566452,126.8944473
417,DMC역 2번출구 옆,37.57506943,126.8999176
418,월드컵경기장역 3번출구 옆,37.57072067,126.8989792
419,홈플러스 앞,37.56842041,126.8994293
420,서울시 공공자전거 상암센터,37.56624603,126.8961792
421,마포구청 앞,37.56574631,126.9018631
422,문화비축기지,37.56897736,126.8944016
424,롯데하이마트  상암월드컵점 ,37.57361984,126.8980484
425,DMC첨단산업센터,37.58450317,126.8855972
426,서울신용보증재단,37.54906082,126.9541779
427,성산시영아파트,37.56958389,126.9038162
428,명보사거리,37.56439972,126.9914322
429,송도병원,37.54988861,127.0073471
430,KEB하나은행 장충동지점,37.56217194,127.0062637
431,청계천 영도교,37.5710144,127.0197449
432,마포중앙도서관,37.56333923,126.9082031
433,을지로입구역 2번출구,37.56634521,126.9822922
434,신당 래미안 버스정류장,37.56148911,127.0239334
435,SK 남산빌딩,37.55686188,126.9756165
436,이대역 5번출구,37.55659103,126.9461899
437,대흥역 1번출구,37.54846954,126.9409256
438,성산2-1 공영주차장,37.56472015,126.9067688
439,마포어린이공원,37.53552246,126.9439087
440,하늘공원 입구,37.57012177,126.8813477
441,염천교사거리,37.55989075,126.9714966
442,서울역 서부,37.55641556,126.9691925
443,호암아트홀,37.5621109,126.9707184
445,대한상공회의소,37.56015396,126.9741058
446,상명대입구,37.60012817,126.9578323
447,신영동삼거리,37.60399246,126.9619446
449,일성아파트,37.60871887,126.9728622
450,효자동 삼거리,37.58360291,126.9725494
451,청와대앞길,37.58351517,126.9796677
452,동대문 종합시장 버스정류장,37.57123947,127.0044098
453,종로오가 지하쇼핑센터 14번출구,37.57114029,127.0006714
454,종로2가 버스정류장  종각방향 ,37.57035828,126.9863815
455,종로6가역 버스정류장 동대문 방향 ,37.570961,127.0060577
456,숭인2동 주민센터 입구,37.57447052,127.0198288
457,종로꽃시장 입구 옆,37.57131958,127.0072098
458,광화문역 5번출구,37.56989288,126.9775696
461,서울지방경찰청,37.57436371,126.9723663
462,신영동삼거리 북악터널방향 ,37.60351181,126.9620667
464,삼청동 골목,37.58419037,126.9816971
465,삼청공원 앞,37.58760452,126.9835968
466,롯데호텔,37.56584167,126.9798126
467,한국은행,37.5622139,126.9808655
468,웨스틴 조선호텔,37.56415939,126.9794846
469,회현역 1번출구,37.5592308,126.9801407
470,회현역 7번출구,37.55974579,126.9800034
471,회현사거리 남측,37.56035995,126.9826508
472,삼일교 시그니쳐 타워 ,37.56787109,126.9884033
473,을지로4가역 9번출구,37.56605148,126.9979858
474,동대문역사문화공원역 1번출구 뒤편,37.56629944,127.0084915
475,ddp패션몰,37.56764984,127.0118103
476,광희문,37.56443024,127.0099564
477,앰배서더 호텔 주변,37.55928802,127.0026856
479,동대입구역 3번 출구,37.55937576,127.0060272
480,약수역 6번 출구,37.55432129,127.010704
